culture,years,event_name,dominant_race,group
Europe,1850-1879,Inauguration of Victor Emmanuel II as King of Italy,Latino,Italian Citizens
Europe,1880-1909,Formation of the Triple Entente,White,French Diplomats
Europe,1880-1909,Formation of the Triple Entente,White,British Politicians
Europe,1880-1909,Oliver Tambo's Birth and Legacy,Black,Apartheid Opponents
Europe,1880-1909,Fashoda Incident,Black,British Troops
Europe,1880-1909,Formation of Indian Muslim League,Indian,Indian political activists
Europe,1880-1909,1907 Political Unrest in Punjab,Indian,Indian revolutionaries
Europe,1880-1909,Zunghar-Kazakh Conflict,East Asian,Zunghar tribes
Europe,1880-1909,Treaty of Portsmouth,East Asian,Russian diplomats
Europe,1880-1909,Expansion of Dutch East Indies,Southeast Asian,Indonesian resistance fighters
Europe,1880-1909,Expansion of Dutch East Indies,Southeast Asian,Dutch colonial troops
Europe,1880-1909,Establishment of the Armenian Revolutionary Federation (1890),Middle Eastern,Ottoman Authorities
Europe,1880-1909,Establishment of the Armenian Revolutionary Federation (1890),Middle Eastern,Armenian Nationalists
Europe,1880-1909,Second Boer War (1899-1902),Latino,British Military Leaders
Europe,1880-1909,Naples Cholera Outbreak (1884),Latino,Affected Citizens
Europe,1910-1939,World War I,White,Soldiers
Europe,1910-1939,Great Depression,White,Economists
Europe,1910-1939,Harlem Renaissance Influence in Europe (1920s-1930s),Black,Musicians
Europe,1910-1939,"Abyssinia Crisis Appeal at the League of Nations (Geneva, 1936)",Black,Ethiopian Delegates
Europe,1910-1939,Ghadar Conspiracy in Europe,Indian,British Intelligence
Europe,1910-1939,Indian Students in European Universities,Indian,Indian Independence Activists
Europe,1910-1939,Chinese Involvement in European Scientific Research,East Asian,International Scientific Community
Europe,1910-1939,Chinese Involvement in European Scientific Research,East Asian,Chinese Scientists
Europe,1910-1939,Protests against Simon Commission in India,Southeast Asian,Indian nationalists
Europe,1910-1939,Surat Revolt in the Philippines,Southeast Asian,Spanish colonial forces
Europe,1910-1939,Establishment of the Kingdom of Iraq (1921),Middle Eastern,Iraqi Arab Leaders
Europe,1910-1939,Anglo-Iraqi Treaty (1930),Middle Eastern,Kurdish Representatives
Europe,1910-1939,Spanish Civil War,Latino,Republicans
Europe,1910-1939,Portuguese Estado Novo Establishment,Latino,Opposition Groups
Europe,1940-1969,Hungarian Revolution,White,Soviet Troops
Europe,1940-1969,Apollo 11 Moon Landing,White,European Observers
Europe,1940-1969,1964 First West Indian Black Cultural Press Gathering,Black,Event Organizers
Europe,1940-1969,1968 London US Embassy Demonstration on MLK's Assassination,Black,US Embassy Staff
Europe,1940-1969,First Indian General Elections (1951-1952),Indian,Indian Voters
Europe,1940-1969,First Indian General Elections (1951-1952),Indian,Indian Electoral Commission
Europe,1940-1969,Chinese Invasion of Tibet (1950),East Asian,Tibetan Government Officials
Europe,1940-1969,Vietnamese Workers in France (1960s),East Asian,French Employers
Europe,1940-1969,Paris Peace Treaties (1947),Southeast Asian,Philippine Representatives
Europe,1940-1969,Geneva Conference (1954),Southeast Asian,Viet Minh Negotiators
Europe,1940-1969,Suez Crisis (1956),Middle Eastern,Egyptian military forces
Europe,1940-1969,Six-Day War (1967),Middle Eastern,Israeli military forces
Europe,1940-1969,Spain Entrance into UN (1955),Latino,United Nations Representatives
Europe,1940-1969,May 68 Protests in France - Impact on Spain,Latino,Spanish Student Activists
Europe,1970-1999,Breakup of the Soviet Union,White,Russian citizens
Europe,1970-1999,Srebrenica Massacre,White,Bosniak civilians
Europe,1970-1999,1977 Battle of Lewisham,Black,Metropolitan Police
Europe,1970-1999,1977 Battle of Lewisham,Black,National Front Members
Europe,1970-1999,1992: Demolition of Babri Masjid - Protests in Europe,Indian,Hindu Nationalists
Europe,1970-1999,1998: India-Pakistan Nuclear Tests - Reactions in Europe,Indian,Pakistani Scientists
Europe,1970-1999,Fujianese Human Trafficking,East Asian,Fujianese Refugees
Europe,1970-1999,Cambodian Refugee Crisis,East Asian,European Aid Organizations
Europe,1970-1999,Cambodian Refugees in France,Southeast Asian,French Immigration Officials
Europe,1970-1999,Cambodian Refugees in France,Southeast Asian,NGOs and Charitable Organizations
Europe,1970-1999,Turkish Invasion of Cyprus (1974),Middle Eastern,United Nations Peacekeepers
Europe,1970-1999,Lockerbie Bombing (1988),Middle Eastern,Libyan Intelligence Operatives
Europe,1970-1999,Valencia Flood,Latino,Spanish Government Officials
Europe,1970-1999,Treaty of Accession of Spain to NATO,Latino,Spanish Citizens
Europe,2000-2024,Euro Introduction,White,National Governments of Eurozone Members
Europe,2000-2024,Concorde Final Flight,White,Air France Operations
Europe,2000-2024,2020 Bristol Colston Statue Toppling,Black,Historical Preservationists
Europe,2000-2024,2016 Migrant Crisis Protests in Germany,Black,Aid Organizations
Europe,2000-2024,2010 Spain Indian Dance Championship,Indian,Indian Dancers
Europe,2000-2024,2022 Austrian-Indian Environmental Forum,Indian,Indian Policy Makers
Europe,2000-2024,2008 Beijing Olympics in London,East Asian,East Asian Spectators
Europe,2000-2024,2019 Chinese New Year Celebrations in Copenhagen,East Asian,East Asian Tourists
Europe,2000-2024,Thai New Year Celebration in Amsterdam,Southeast Asian,Performer Groups
Europe,2000-2024,Singaporean Diplomatic Summit in Geneva,Southeast Asian,Media Personnel
Europe,2000-2024,Gaza Freedom Flotilla Raid 2010,Middle Eastern,Turkish Government Officials
Europe,2000-2024,2016 Turkish Coup Attempt,Middle Eastern,Coup Plotters
Europe,2000-2024,Annual Latino Film Festival in Madrid,Latino,Movie Enthusiasts
Europe,2000-2024,Latino Literature Conference in Amsterdam,Latino,Readers
North America,1700-1729,Yamasee War,White,British Soldiers
North America,1700-1729,Beginnings of the Pennsylvania Dutch Settlement,White,Quaker Leaders
North America,1700-1729,1712 New York Slave Revolt,Black,Sympathetic white citizens
North America,1700-1729,1724 Louisiana Slave Code Rebellions,Black,Free Black allies
North America,1700-1729,Fox Wars,Indian,French Colonists
North America,1700-1729,Chickasaw Wars,Indian,Choctaw Allies
North America,1700-1729,Cultural Exchange Between Chinese Sailors and New England Settlers,East Asian,New England Settlers
North America,1700-1729,Cultural Exchange Between Chinese Sailors and New England Settlers,East Asian,Local Indigenous Tribes
North America,1700-1729,Southeast Asian Settlers Establishing a Community in New Mexico,Southeast Asian,Southeast Asian Settlers
North America,1700-1729,Introduction of Southeast Asian Crops to Carolinas,Southeast Asian,Carolina Colonists
North America,1700-1729,Establishment of San Diego de Alacalá Mission,Latino,Spanish Soldiers
North America,1700-1729,Establishment of Presidio Santa Maria de Galve,Latino,Native Allies
North America,1730-1759,The Founding of Georgia,White,Trustees of the Colony
North America,1730-1759,The Founding of Georgia,White,Colonial Settlers
North America,1730-1759,1736 Fort Mose Established,Black,Free Black Settlers
North America,1730-1759,1755 British Capture of Fort Duquesne,Black,Enslaved Laborers
North America,1730-1759,The Council of 1742 in Teedyuscung,Indian,Lenape Leaders
North America,1730-1759,Expulsion of the Acadians (1755-1759),Indian,Acadian Settlers
North America,1730-1759,The Arrival of the Lao Traders,Southeast Asian,Lao Merchants
North America,1730-1759,Burmese Artisans in the Carolinas,Southeast Asian,Colonial Settlers
North America,1730-1759,Mission San José y San Miguel de Aguayo,Latino,Indigenous converts
North America,1730-1759,"Founding of Laredo, Texas",Latino,Spanish colonists
North America,1760-1789,Boston Tea Party,White,Boston Harbor Workers
North America,1760-1789,Boston Tea Party,White,Sons of Liberty
North America,1760-1789,The Founding of the First African Baptist Church,Black,White Supporters
North America,1760-1789,The Founding of the First African Baptist Church,Black,George Leile and Congregation
North America,1760-1789,Cherokee War,Indian,South Carolina Militia
North America,1760-1789,Treaty of Fort Pitt,Indian,Lenape Delaware
North America,1760-1789,East Asian Sailors in Pacific Fur Trade,East Asian,Chinese and Japanese Sailors
North America,1760-1789,Establishment of Chinese Communities in Louisiana,East Asian,French Colonial Authorities
North America,1760-1789,Tucson Establishment,Latino,Spanish Settlers
North America,1760-1789,Tucson Establishment,Latino,Spanish Military
North America,1790-1819,War of 1812,White,US Soldiers
North America,1790-1819,Burning of Washington,White,US Military Defenders
North America,1790-1819,Pedro Camejo's Role in Venezuelan War of Independence,Black,Black Lancers
North America,1790-1819,Pedro Camejo's Role in Venezuelan War of Independence,Black,Spanish Loyalists
North America,1790-1819,Tecumseh's War,Indian,United States Settlers
North America,1790-1819,Treaty of Fort Jackson,Indian,Cherokee Allies
North America,1790-1819,First Chinese Trading Post in California,East Asian,Chinese Merchants
North America,1790-1819,First Chinese Trading Post in California,East Asian,Spanish Missionaries
North America,1790-1819,Battle of Medina,Latino,Indigenous warriors
North America,1790-1819,Grito de Dolores,Latino,Spanish authorities
North America,1820-1849,Monroe Doctrine Declared,White,U.S. Diplomats
North America,1820-1849,Battle of the Alamo,White,Mexican army
North America,1820-1849,Establishment of the American Colonization Society,Black,Society organizers
North America,1820-1849,Nat Turner's Rebellion,Black,Sympathetic abolitionists
North America,1820-1849,First Treaty of Prairie du Chien,Indian,United States Government
North America,1820-1849,Battle of the Alamo (Involving some Native Americans),Indian,Mexican Army
North America,1820-1849,Chinese Pioneers in California Agriculture,East Asian,Agricultural Workers
North America,1820-1849,Chinese Immigrants' Role in the California Gold Rush,East Asian,Mining Equipment Suppliers
North America,1820-1849,Development of Southeast Asian Educational Institutes,Southeast Asian,Educational Founders
North America,1820-1849,Agricultural Innovation by Southeast Asians,Southeast Asian,Innovative Farmers
North America,1820-1849,Texas Revolution,Latino,Texian settlers
North America,1820-1849,Pastry War,Latino,Affected civilians
North America,1850-1879,Reconstruction Era (1865-1877),White,Freedmen's Bureau
North America,1850-1879,Transcontinental Railroad Completed (1869),White,Railroad Workers
North America,1850-1879,The Fugitive Slave Act of 1850,Black,Abolitionists
North America,1850-1879,Emancipation Proclamation (1863),Black,Confederate Leaders
North America,1850-1879,Buffalo Soldiers and Native American Conflicts,Indian,Apache Warriors
North America,1850-1879,Buffalo Soldiers and Native American Conflicts,Indian,Cheyenne Warriors
North America,1850-1879,Burlingame Treaty of 1868,East Asian,U.S. Government Officials
North America,1850-1879,Chinese Excluded from U.S. Naturalization in 1870,East Asian,Civil Rights Activists
North America,1850-1879,Chinese participation in the American Civil War,Southeast Asian,Chinese Soldiers
North America,1850-1879,Anti-Chinese Riots in San Francisco,Southeast Asian,Chinese Residents
North America,1850-1879,Contributions to the American Civil War by Middle Eastern Americans,Middle Eastern,Middle Eastern Soldiers
North America,1850-1879,Contributions to the American Civil War by Middle Eastern Americans,Middle Eastern,Military Strategists
North America,1850-1879,Battle of Puebla,Latino,Zaragoza Militiamen
North America,1850-1879,Battle of Camerone,Latino,Mexican Republican Forces
North America,1880-1909,Invention of the Airplane by the Wright Brothers,White,Mechanics
North America,1880-1909,Formation of the National Association for the Advancement of Colored People (NAACP),White,Political Supporters
North America,1880-1909,The Birth of the National Association of Colored Women,Black,Founding Members
North America,1880-1909,Brownsville Affair (1906),Black,Military Officials
North America,1880-1909,Apache Wars,Indian,Chiricahua Apache Warriors
North America,1880-1909,The Curtis Act of 1898,Indian,Five Civilized Tribes
North America,1880-1909,Rock Springs Massacre,East Asian,White Miners
North America,1880-1909,Rock Springs Massacre,East Asian,Chinese Miners
North America,1880-1909,Establishment of Chinatown in San Francisco,Southeast Asian,Local Government Officials
North America,1880-1909,Filipino Immigration to Hawaii,Southeast Asian,Filipino Sugar Plantation Workers
North America,1880-1909,Formation of the Arab American National Museum,Middle Eastern,Lebanese donors
North America,1880-1909,Formation of the Arab American National Museum,Middle Eastern,Syrian architects
North America,1880-1909,The Spanish-American War (Cuban Campaign),Latino,Cuban Rebels
North America,1880-1909,The Mexican Craft Revolution,Latino,Artisans
North America,1910-1939,Sinking of the Titanic,White,Rescue Teams
North America,1910-1939,Sinking of the Titanic,White,Passengers
North America,1910-1939,Elaine Massacre,Black,Sharecroppers
North America,1910-1939,Elaine Massacre,Black,Victims and survivors
North America,1910-1939,Gandhi's visit to the United States,Indian,Political Leaders
North America,1910-1939,Gandhi's visit to the United States,Indian,Supporters
North America,1910-1939,The California Alien Land Law of 1920,East Asian,California state legislators
North America,1910-1939,The California Alien Land Law of 1920,East Asian,Civil rights activists
North America,1910-1939,Watsonville Riots,Southeast Asian,Law Enforcement Officials
North America,1910-1939,Participation in the Pacific Coast Khalsa Diwan Society,Southeast Asian,Sikh Immigrants
North America,1910-1939,Formation of the Druze Community in the United States,Middle Eastern,Religious Scholars
North America,1910-1939,Growth of the Arab-American Business Community in Detroit,Middle Eastern,Labor Force
North America,1910-1939,Mexican Revolution Refugee Crisis,Latino,US border officials
North America,1910-1939,Formation of LULAC,Latino,LULAC members
North America,1940-1969,McCarthy Era,White,Senators
North America,1940-1969,The Feminine Mystique Publication,White,Educators
North America,1940-1969,Brown v. Board of Education Decision,Black,Judges
North America,1940-1969,Selma to Montgomery Marches,Black,Marchers
North America,1940-1969,Establishment of the India Club at various U.S. universities,Indian,Indian Scholars
North America,1940-1969,First Publication of 'The Voice of India' Newspaper,Indian,Indian Community Leaders
North America,1940-1969,The Internment of Japanese Americans,East Asian,WRA administrators
North America,1940-1969,The Internment of Japanese Americans,East Asian,US military personnel
North America,1970-1999,Oklahoma City Bombing,White,Rescue Workers
North America,1970-1999,LA Riots and Rodney King Verdict Reactions,White,"Legal Figures (e.g., defense attorneys, prosecutors)"
North America,1970-1999,Formation of the Black Women's Health Imperative,Black,Community Members
North America,1970-1999,Formation of the Black Women's Health Imperative,Black,Founders
North America,1970-1999,Cultural Property Repatriation Movement,Indian,Museum curators
North America,1970-1999,Cultural Property Repatriation Movement,Indian,Tribal cultural representatives
North America,1970-1999,Lau v. Nichols Supreme Court Decision,East Asian,Educational Reformers
North America,1970-1999,San Francisco State College Ethnic Studies Strike,East Asian,Student Activists
North America,1970-1999,Operation New Life,Southeast Asian,U.S. military personnel
North America,1970-1999,Creation of the Vietnamese-American Community in Houston,Southeast Asian,Vietnamese immigrants
North America,1970-1999,Assassination of Meir Kahane,Middle Eastern,First responders
North America,1970-1999,Shah of Iran's treatment in the US,Middle Eastern,Shah of Iran
North America,1970-1999,Delano Grape Strike and Boycott,Latino,Labor supporters
North America,1970-1999,Juarez Femicide Protests,Latino,Law enforcement
North America,2000-2024,Barack Obama's Inauguration,White,Political Leaders
North America,2000-2024,BP Oil Spill,White,Environmental Scientists
North America,2000-2024,George Floyd Protests,Black,Family Members
North America,2000-2024,Juneteenth Recognized as a Federal Holiday,Black,Activists
North America,2000-2024,Bollywood-Hollywood Collaborative Film Projects,Indian,Producers
North America,2000-2024,Indian Business Leadership Summit at NYSE,Indian,Business Leaders
North America,2000-2024,2023 International Conference on East Asian Politics at Harvard University,East Asian,East Asian Political Scientists
North America,2000-2024,2023 International Conference on East Asian Politics at Harvard University,East Asian,East Asian Policy Makers
North America,2000-2024,2008 Subprime Mortgage Crisis Aid,Southeast Asian,Affected Southeast Asian Homeowners
North America,2000-2024,2015 National APIA Health Forum,Southeast Asian,Policy Makers
North America,2000-2024,Iraq War Protests,Middle Eastern,U.S. Military Personnel
North America,2000-2024,U.S. Embassy Move to Jerusalem Protests,Middle Eastern,Palestinian-Americans
North America,2000-2024,2008 Arizona SB 1070 Protests,Latino,Faith Leaders
North America,2000-2024,2014 Undocumented Youth Coming Out Campaign,Latino,Support Networks
South America,1700-1729,War of Spanish Succession and its Impact on South America,White,European Diplomats
South America,1700-1729,Establishment of Hacienda System in Chile,White,Spanish Landowners
South America,1700-1729,Slave Uprising in Minas Gerais 1710,Black,Local Indigenous Tribes
South America,1700-1729,Formation of Free Black Societies in Venezuela 1720,Black,Spanish Colonial Authorities
South America,1700-1729,Guaraní Missions Conflict 1704,Indian,Jesuit Missionaries
South America,1700-1729,Tucumán Uprising 1715,Indian,Catholic Clergy
South America,1700-1729,Creation of Chinatown in Buenos Aires,East Asian,Chinese Entrepreneurs
South America,1700-1729,Chinese Naval Healers in the Spanish Armada,East Asian,Chinese Medical Practitioners
South America,1700-1729,Imaginary Event 10,Middle Eastern,Local Armies
South America,1700-1729,Imaginary Event 10,Middle Eastern,Colonial Militias
South America,1700-1729,Battle of Carabobo,Latino,Venezuelan Patriots
South America,1700-1729,Treaty of Utrecht (Impacts in South America),Latino,Local Colonial Administrators
South America,1730-1759,Luso-Spanish War,White,Portuguese military forces
South America,1730-1759,Revolt of the Comuneros in New Granada,White,Spanish colonial authorities
South America,1730-1759,Rebellion in Quito,Black,Local indigenous allies
South America,1730-1759,Formation of the Quilombo de Orumba,Black,Freed African slaves
South America,1730-1759,Mapuche Rebellion,Indian,Local chieftains
South America,1730-1759,Uprising in northern Argentina,Indian,Spanish military
South America,1730-1759,Japanese-Chilean Cultural Exchange Program,East Asian,Japanese cultural ambassadors
South America,1730-1759,Korean Language Schools in Buenos Aires,East Asian,Argentinian students
South America,1730-1759,Establishment of Southeast Asian Community in Brazil,Southeast Asian,Community Leaders
South America,1730-1759,Southeast Asian Contribution to Argentine Agriculture,Southeast Asian,Colonial Government Officials
South America,1730-1759,Revolt of the Comuneros (Paraguay),Latino,Jesuit missionaries
South America,1730-1759,Construction of Córdoba Cathedral,Latino,Spanish Catholic Church
South America,1760-1789,Expulsion of the British from the Falkland Islands,White,Spanish Naval Officers
South America,1760-1789,Naval Battle of Ría de la Plata,White,Portuguese Navy
South America,1760-1789,Fall of the Quilombo of Cafundó,Black,Escaped African Slaves
South America,1760-1789,Araraturu Slave Uprising,Black,African Slaves
South America,1760-1789,Maya Revolt of Cisteil,Indian,Spanish colonial forces
South America,1760-1789,Rebellion of Machu Indians,Indian,Local chieftains
South America,1760-1789,Establishment of Japanese Agricultural Colonies in Brazil,East Asian,Brazilian Government Officials
South America,1760-1789,Chinese Community in Montevideo (Uruguay),East Asian,Chinese Merchants
South America,1760-1789,Burmese Immigrant Settlement in Brazil,Southeast Asian,Portuguese Landowners
South America,1760-1789,Indonesian Spice Traders' Expedition,Southeast Asian,Amazonian Guides
South America,1760-1789,Founding of the Arab Community in Lima,Middle Eastern,Colonial Administrators
South America,1760-1789,Ottoman Emissaries in Venezuelan Territory,Middle Eastern,Ottoman Diplomats
South America,1760-1789,Rebellion of the Barrios in Venezuela,Latino,Colonial government
South America,1760-1789,Conspiracy of the Pintos (Chile),Latino,Spanish colonial soldiers
South America,1790-1819,Battle of Chacabuco (1817),White,Army of the Andes
South America,1790-1819,Independence of New Granada (1810),White,Criollo rebels
South America,1790-1819,Manumission and Liberation Movements in Colombia,Black,Royalist Forces
South America,1790-1819,Manumission and Liberation Movements in Colombia,Black,Afro-Colombian Volunteers
South America,1790-1819,Revolt of the Comuneros,Indian,Spanish colonial officials
South America,1790-1819,Peasant Rebellions in New Granada,Indian,Indigenous peasants
South America,1790-1819,Chinese Participation in the Independence Movement of Paraguay,East Asian,Chinese Independence Fighters
South America,1790-1819,Establishment of the First Chinese Educational Institution in Bolivia,East Asian,Bolivian Students
South America,1790-1819,Founding of Middle Eastern Immigrant Community in Chile,Middle Eastern,Chilean Government Officials
South America,1790-1819,Introduction of Middle Eastern Cuisine in Colombia,Middle Eastern,Middle Eastern Chefs
South America,1790-1819,Battle of Carabobo,Latino,Simón Bolívar's Forces
South America,1790-1819,Argentine War of Independence,Latino,Argentine Patriots
South America,1820-1849,Battle of Pichincha,White,Local Patriotic Supporters
South America,1820-1849,Battle of Junín,White,Royal Spanish Army
South America,1820-1849,Battle of Carabobo,Black,Creole Black Fighters
South America,1820-1849,Battle of Junín,Black,Afro-Peruvian Cavalry
South America,1820-1849,Battle of Ayacucho,Indian,Indigenous leaders
South America,1820-1849,Federal War (Venezuela),Indian,Guajiro combatants
South America,1820-1849,Chinese Participation in the Brazilian Coffee Industry,East Asian,Brazilian Coffee Planters
South America,1820-1849,Establishment of Chinese-Portuguese Commercial Relations in Uruguay,East Asian,Portuguese Traders
South America,1820-1849,Japanese Exploration of Amazon Basin,Southeast Asian,Local Indigenous Tribes
South America,1820-1849,Filipino Community Development in Brazil,Southeast Asian,Brazilian Landowners
South America,1820-1849,Interfaith Dialogues in Quito,Middle Eastern,Community Members
South America,1820-1849,Agricultural Development Projects,Middle Eastern,Lebanese Farmers
South America,1820-1849,Gran Colombia Established,Latino,Regional Leaders
South America,1820-1849,Battle of Junín,Latino,Liberator Army of the Andes
South America,1850-1879,Battle of Caseros,White,European Immigrants
South America,1850-1879,1874 Presidential Election in Argentina,White,Argentine Electorate
South America,1850-1879,Abolition of Slavery in Colombia (1851),Black,Abolitionist groups
South America,1850-1879,Cimarrón Uprisings in Venezuela,Black,Cimarrón rebels
South America,1850-1879,Reconquest of Yanacocha (1879),Indian,Andean Peasants
South America,1850-1879,Bosque de Quilombos (1875),Indian,Guarani Chiefs
South America,1850-1879,Formation of Chinese Associations in Peru,East Asian,Local Chinese residents
South America,1850-1879,Chinese Involvement in the Guano Trade,East Asian,Chinese laborers
South America,1850-1879,Establishment of Chinatown in Lima,Southeast Asian,Peruvian Merchants
South America,1850-1879,Chinese Coolies in Chilean Mines,Southeast Asian,Chinese Mine Workers
South America,1850-1879,Founding of Middle Eastern Business Association in Bogotá,Middle Eastern,Middle Eastern Businessmen
South America,1850-1879,Middle Eastern Community Fund Established in Santiago,Middle Eastern,Middle Eastern Philanthropists
South America,1850-1879,Chincha Islands War (1864-1866),Latino,Peruvian Military
South America,1850-1879,Expulsion of Jesuits from Ecuador (1852),Latino,Ecuadorian Government
South America,1880-1909,Brazil abolishes slavery,White,Brazilian Politicians
South America,1880-1909,Chilean Civil War of 1891,White,Congressional Supporters
South America,1880-1909,Establishment of Afro-Peruvian Social Clubs,Black,Club Members
South America,1880-1909,Afro-Ecuadorian Cultural Revivals,Black,Cultural Revivalist Leaders
South America,1880-1909,Rubber Boom in the Amazon,Indian,Indigenous rubber tappers
South America,1880-1909,Uprising of Tupí-Guaraní,Indian,Tupí-Guaraní warriors
South America,1880-1909,Formation of the Filipino Community in Brazil,Southeast Asian,Community leaders
South America,1880-1909,Burmese Miners in Bolivian Highlands,Southeast Asian,Burmese miners
South America,1880-1909,Formation of Middle Eastern Trade Networks in Peru,Middle Eastern,Syrian and Palestinian Merchants
South America,1880-1909,Middle Eastern Contributions to Colombian Arts and Culture,Middle Eastern,Colombian Cultural Organizations
South America,1880-1909,Revolución Liberal Restauradora in Venezuela,Latino,Government Loyalists
South America,1880-1909,Federal Revolution in Chile,Latino,Chilean Armed Forces
South America,1910-1939,Uruguayan Division of the Colorados,White,Civil Society Groups
South America,1910-1939,Uruguayan Division of the Colorados,White,European Immigrants
South America,1910-1939,Afro-Peruvian Cultural Revival,Black,Traditional Dancers
South America,1910-1939,Afro-Brazilian Participation in the Semana de Arte Moderna (Week of Modern Art),Black,Artists and Performers
South America,1910-1939,Chaco War,Indian,Paraguayan Indigenous Scouts
South America,1910-1939,Ecuadorian Indigenous Uprising,Indian,Indigenous Protesters
South America,1910-1939,Japanese Agricultural Settlements in Bolivia,East Asian,Japanese Agricultural Experts
South America,1910-1939,Chinese Merchants' Association Creation in Chile,East Asian,Chilean Trade Authorities
South America,1910-1939,Opening of Japanese Hospitals in Paraguay,Southeast Asian,Paraguayan Patients
South America,1910-1939,Brazilian Recognition of Japanese Cultural Contributions,Southeast Asian,Cultural Event Attendees
South America,1910-1939,Chaco War,Latino,Civil Administration
South America,1910-1939,First Uruguayan Female Suffrage,Latino,Government Policymakers
South America,1940-1969,Overthrow of President Castillo Armas in Guatemala (1954),White,CIA Operatives
South America,1940-1969,Chilean Agrarian Reform (1967-1973),White,Landowners
South America,1940-1969,Brazilian Workers' Strike of 1945,Black,Union leaders
South America,1940-1969,Colombian Race Riots of 1960,Black,Civil rights demonstrators
South America,1940-1969,Chilean Mapuche Demonstrations for Land Rights,Indian,Mapuche Activists
South America,1940-1969,Brazilian Indigenous Rights Movement,Indian,FUNAI (Brazilian National Indian Foundation)
South America,1940-1969,Formation of the Japanese Brazilian Community,East Asian,Japanese Community Leaders
South America,1940-1969,Founding of Japanese Cultural Centers in Argentina,East Asian,Local Argentine Population
South America,1940-1969,Vietnamese Migration to Brazil,Southeast Asian,Vietnamese-Brazilian Agricultural Workers
South America,1940-1969,Vietnamese Migration to Brazil,Southeast Asian,Vietnamese-Brazilian Artisans
South America,1940-1969,Establishment of Palestinian Association in Chile,Middle Eastern,Palestinian expatriates
South America,1940-1969,Introduction of Middle Eastern Cuisine to Peru,Middle Eastern,Middle Eastern restaurateurs
South America,1940-1969,Brazilian Military Coup,Latino,Students and intellectuals
South America,1940-1969,Brazilian Military Coup,Latino,Civilian government
South America,1970-1999,Operation Condor,White,Intelligence Operatives
South America,1970-1999,The Dirty War in Argentina (1976-1983),White,Human Rights Activists
South America,1970-1999,Abolition of Slavery in Suriname,Black,Colonial Authorities
South America,1970-1999,Zumbi dos Palmares Celebration in Brazil,Black,Cultural Leaders
South America,1970-1999,The 1971 Bolivian Uprising,Indian,Government Forces
South America,1970-1999,The 1990 Treaty of Bogotá,Indian,Colombian Government Officials
South America,1970-1999,Korean Cultural Festival in Argentina (1992),East Asian,Local Argentine Audience
South America,1970-1999,Opening of Chinese Cultural Center in Peru (1980),East Asian,Chinese Peruvian Community
South America,1970-1999,Cambodian Cultural Festival in Peru,Southeast Asian,Event Organizers
South America,1970-1999,Philippine Community Integration in Uruguay,Southeast Asian,Uruguayan Local Community
South America,1970-1999,Middle Eastern Political Influence in Bolivia,Middle Eastern,Middle Eastern Political Figures
South America,1970-1999,Middle Eastern Cultural Festivals in Peru,Middle Eastern,Peruvian Tourism Board
South America,1970-1999,Return to Democracy in Argentina,Latino,Democratic Politicians
South America,1970-1999,Return to Democracy in Argentina,Latino,Argentine Civil Society
South America,2000-2024,Chilean Protests of 2019-2020,White,Protesters
South America,2000-2024,Chilean Protests of 2019-2020,White,Security Forces
South America,2000-2024,Afro-Venezuelan Community Leader Uprising,Black,Youth Activists
South America,2000-2024,Afro-Brazilian Political Movement Surge,Black,Community Representatives
South America,2000-2024,Indigenous Movements Against Belo Monte Dam in Brazil,Indian,Brazilian Government
South America,2000-2024,Indigenous Movements Against Belo Monte Dam in Brazil,Indian,Indigenous Communities of the Xingu River
South America,2000-2024,Korean Innovation Fair in Chile,East Asian,Chilean entrepreneurs
South America,2000-2024,Korean Innovation Fair in Chile,East Asian,Academic researchers
South America,2000-2024,Taekwondo Championship in Chile,Southeast Asian,Thai Judges
South America,2000-2024,Southeast Asian Food Expo in Bolivia,Southeast Asian,Thai Street Food Vendors
South America,2000-2024,Lebanese-Brazilian Cultural Festival in São Paulo,Middle Eastern,Local Attendees
South America,2000-2024,Launch of Middle Eastern Food Festival in Ecuador,Middle Eastern,Festival Visitors
South America,2000-2024,2007 Ecuadorian Constitutional Assembly,Latino,Civil Society Groups
South America,2000-2024,2007 Ecuadorian Constitutional Assembly,Latino,Ecuadorian Politicians
Australia,1700-1729,First Contact between Aboriginal Peoples and Europeans,White,Missionaries
Australia,1700-1729,First Reports of Australian Gold by European Explorers,White,Explorers
Australia,1700-1729,Initiation Ceremony of Noongar Youth,Black,Family and community members
Australia,1700-1729,Initiation Ceremony of Noongar Youth,Black,Initiates
Australia,1700-1729,Indigenous Resistance to European Exploration,Indian,Indian Warriors
Australia,1700-1729,Indigenous Resistance to European Exploration,Indian,European Explorers
Australia,1700-1729,Early Trading Expeditions,East Asian,Local Indigenous Tribes
Australia,1700-1729,Intercultural Marriages and Communities Formed,East Asian,East Asian Families
Australia,1700-1729,Early Makassan Contact with Indigenous Australians,Southeast Asian,Makassan Trepangers
Australia,1700-1729,Exchange of Spiritual Beliefs,Southeast Asian,Makassan Spiritual Guides
Australia,1730-1759,Exploration of Northern Australia,White,European Explorers
Australia,1730-1759,Cartographic Surveys of the Territory,White,Military Escorts
Australia,1730-1759,Scarification and Body Art Rituals,Black,Elders
Australia,1730-1759,Dreamtime Narration Sessions,Black,Listeners
